smiles,label
CC(C)NCCN(C1=CC2=NC(=CN=C2C=C1)C3=CN(N=C3)C)C4=CC(=CC(=C4)OC)OC,0
CC1=NC=C(C(=N1)N)CN(C=O)/C(=C(\CCO)/SSCC2CCCO2)/C,0
CC(C)(C)C1CCC2=C(C1)C(=NO2)C(=O)NC3=CN=CC=C3,1
C1=CC=C2C(=C1)N=CC(=N2)OC3=CC=C(C=C3)NC(=O)CCl,1
Cc1ccc(C(=O)c2c3ccccc3[n+]([O-])n2CCC(N)=O)cc1,1
Cc1nn(C)c(NCc2ccc(-c3cccs3)s2)c1[N+](=O)[O-],1
CCCCC1=C(C2=C(O1)C=CC(=C2)NS(=O)(=O)C)C(=O)C3=CC=C(C=C3)OCCCN(CCCC)CCCC,1
C[C@H](/C=C/[C@H](C1CC1)O)[C@H]2CC[C@@H]\3[C@@]2(CCC/C3=C\C=C/4\C[C@H](C[C@@H](C4=C)O)O)C,0
CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC(=O)O,0
CC(C)(C)NC(=O)[C@@H](c1cccnc1)N(C(=O)c1ccco1)c1ccc(C(C)(C)C)cc1,1
CCC(C)(C)NC(=O)C(c1cccn1C)N(C(=O)Cn1nnc2ccccc21)c1ccc(NC(C)=O)cc1,1
C1CN(CCC1CC(=O)N2CCC(CC2)[C@@H]3C4=C(CCC5=C3N=CC(=C5)Br)C=C(C=C4Br)Cl)C(=O)N,1
CC[C@@H]1[C@@]([C@@H]([C@H](N(C[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)C)O)(C)O,1
CC1=NC(=CO1)C2=CC=C(C=C2)S(=O)(=O)N3CCN(CC3)C4=CC=CC=C4,1
COC(=O)C1=CSC(=N1)C(=O)C2=CNC3=CC=CC=C32,0
C1=CC=C(C=C1)N2C(=O)C(C(=O)N2C3=CC=CC=C3)CCS(=O)C4=CC=CC=C4,0
O=[N+]([O-])c1ccc(S(=O)(=O)c2ccc(Cl)cc2)[n+]([O-])c1,1
CC1=CC=CC=C1N2CCN(CC2)CCC3=NN=C4N3CCCC4,0
C/C(N)=N\c2nc1nc(N)sc1cc2S,1
C/C(=N\N=C(/N)\SC1CC(=O)N(C1=O)C2=CC(=CC=C2)Cl)/C3=CC=CS3,1
CC(C)NC[C@@H](COC1=CC=C(C=C1)CCOCC2CC2)O,0
C[C@@H](NC(=O)c1c(C)ccc(NC(=O)C=C)c1)c1cccc2c1cccc2,1
Cc1cc2cc(CN(CCc3ccccc3C)C(=O)NCc3ccccc3)c(=O)[nH]c2cc1C,1
CCOC1=CC=CC=C1C(=O)N,0
CN1C(=C(C=N1)Cl)C(=O)NC2=CC3=C(C=C2)OCO3,1
CCCCCCCCCCCCCCCCCC[S+](CCC)C1=CC=CC=C1C(=O)OCC,1
N(C(=O)CC)([C@@H](C(=O)Nc1c(C)cc(OC)cc1)c1cnccc1)c1ccc(cc1)[C@@H](OC)C,1
C[C@H](CC1=CC2=C(C(=C1)C(=O)N)N(CC2)CCCO)NCCOC3=CC=CC=C3OCC(F)(F)F,0
CC1=C(SC=N1)CCCl,0
O=C(Cn1nnc2ccccc21)N(Cc1ccsc1)c1ccc(Nc2ccccc2)cc1,1
O=C(CSc2nc(C1CCCCC1)nc3ccccc23)NCc4ccco4,1
CC(C)(C)C1=CC=C(C=C1)N(C(C2=CN=CC=C2)C(=O)NC(C)(C)C)C(=O)C3=CC=CO3,1
